  PID   TID   UID COMM                        CMDLINE                     CMD             LABEL                          STAT  WCHAN 
  239   239     0 [irq/287-flash_a]           [irq/287-flash_a]           irq/287-flash_a u:r:kernel:s0                  S     irq_thread
  240   240     0 [irq/286-flash_f]           [irq/286-flash_f]           irq/286-flash_f u:r:kernel:s0                  S     irq_thread
  241   241     0 [qcrypto_seq_res]           [qcrypto_seq_res]           qcrypto_seq_res u:r:kernel:s0                  I<    rescuer_thread
  242   242     0 [hh_rm_recv_task]           [hh_rm_recv_task]           hh_rm_recv_task u:r:kernel:s0                  S     hh_msgq_recv
  243   243     0 [memlat_wq]                 [memlat_wq]                 memlat_wq       u:r:kernel:s0                  I<    rescuer_thread
  244   244     0 [susfs_sdcard_mo]           [susfs_sdcard_mo]           susfs_sdcard_mo u:r:init:s0                    D     msleep
  245   245     0 [ipv6_addrconf]             [ipv6_addrconf]             ipv6_addrconf   u:r:kernel:s0                  I<    rescuer_thread
  246   246     0 [krfcommd]                  [krfcommd]                  krfcommd        u:r:kernel:s0                  S<    wait_woken
  247   247     0 [qrtr_rx]                   [qrtr_rx]                   qrtr_rx         u:r:kernel:s0                  S     kthread_worker_fn
  248   248     0 [recv_sync_threa]           [recv_sync_threa]           recv_sync_threa u:r:kernel:s0                  S     hh_dbl_validate_params
  249   249     0 [send_sync_threa]           [send_sync_threa]           send_sync_threa u:r:kernel:s0                  S     hh_dbl_validate_params
  250   250     0 [soc:qcom,svm_ne]           [soc:qcom,svm_ne]           soc:qcom,svm_ne u:r:kernel:s0                  D     protocol_block_server_thread
  251   251     0 [rq_stats]                  [rq_stats]                  rq_stats        u:r:kernel:s0                  I<    rescuer_thread
  252   252     0 [msm_perf:events]           [msm_perf:events]           msm_perf:events u:r:kernel:s0                  S     events_notify_userspace
  253   253     0 [kworker/u16:2-devfreq_wq]  [kworker/u16:2-devfreq_wq]  kworker/u16:2-devfreq_wq u:r:kernel:s0         I     worker_thread
  254   254     0 [ipa_power_mgmt]            [ipa_power_mgmt]            ipa_power_mgmt  u:r:kernel:s0                  I<    rescuer_thread
  255   255     0 [transport_power]           [transport_power]           transport_power u:r:kernel:s0                  I<    rescuer_thread
  256   256     0 [ipa_pm_activate]           [ipa_pm_activate]           ipa_pm_activate u:r:kernel:s0                  I<    rescuer_thread
